#Zipfian	0.5 0.9	0.99	1.2 1.5
A 0.8722  0.9733  1.0000  1.0795  1.1085 
B 0.8368  0.9709  1.0000  1.0255  1.0369 
C 0.8007  0.9382  1.0000  1.0291  1.1501 
D 0.8508  0.9603  1.0000  1.0357  1.0313 
E 1.5906  1.5653  1.0000  0.7066  0.6306
