#Zipfian	0.5 0.9	0.99	1.2 1.5
A   0.8252  1.0004  1.0000  1.0190  1.0312 
B   0.9779  0.9839  1.0000  1.0260  1.0364 
C   1.0195  1.0041  1.0000  1.0081  0.8538 
D   1.0127  0.9972  1.0000  1.0417  1.0502 
E   1.9763  1.2101  1.0000  0.7446  0.6953
